A person who speaks on behalf of others,Advocate,Defender
A place where someone can hide safely,Hideout,Safehouse
To examine something very carefully,Inspect,Examine
A person who cannot be trusted,Deceiver,Betrayer
A sudden and unexpected event,Incident,Occasion
A person who travels from place to place,Nomad,Rover
Something that happens repeatedly,Recurring,Repeated
A person with great knowledge of a subject,Expert,Master
To completely destroy something,Destroy,Ruinate
A feeling of deep sadness,Sorrow,Grieve
A person who strongly disagrees with someone,Opponent,Adversary
A place where someone can find safety,Refuge,Shelter
A very large amount of something,Abundance,Plentiful
To leave a place suddenly,Escape,Depart
A person who deliberately causes trouble,Instigator,Agitator
Something that cannot be seen,Invisible,Unseen
A person unwilling to spend money,Miser,Skinflint
A difficult situation with no obvious solution,Quandary,Dilemma
A strong desire to achieve something,Ambition,Aspiration
A person who watches an event happen,Spectator,Observer
A very old object made by humans,Artifact,Relic
To make something better than it was,Improve,Upgrade
A person who pretends to be someone else,Impostor,Pretender
A secret place where something is stored,Cache,Store
A person who loves collecting books,Bibliophile,Booklover
A sudden expression of strong emotion,Outburst,Eruption
Something that happens unexpectedly,Accident,Mishap
A person who expects bad things to happen,Pessimist,Doubter
A person who expects good things to happen,Optimist,Idealist
A very short period of time,Moment,Instant
A person who studies stars and planets,Astronomer,Stargazer
A person who studies ancient civilizations,Archaeologist,Antiquarian
To speak very quietly,Whisper,Murmur
To run away from danger,Flee,Bolt
A feeling of extreme fear,Terror,Horror
A person who is new to something,Novice,Beginner
A person with exceptional skill,Master,Expert
A person who creates works of art,Artist,Painter
A person who writes books or stories,Author,Writer
A person who performs tricks for entertainment,Magician,Illusionist
A person who travels without a fixed home,Wanderer,Drifter
A place where valuable objects are kept,Vault,Strongroom
A large collection of valuable objects,Treasure,Riches
To look for something carefully,Search,Explore
To find something unexpectedly,Discover,Uncover
To hide something from others,Conceal,Suppress
To reveal something that was hidden,Expose,Uncover
A person who secretly gathers information,Spy,Agent
A person who investigates crimes,Detective,Investigator
A person who breaks into buildings to steal,Burglar,Robber
A person who steals from others,Thief,Looter
A person who betrays their own group,Traitor,Turncoat
A secret agreement between people,Pact,Deal
A temporary agreement to stop fighting,Truce,Peace
A person who settles disagreements,Mediator,Arbitrator
A serious disagreement between people,Conflict,Dispute
A heated argument between people,Dispute,Conflict
A person who fights against another,Adversary,Opponent
A person who supports a particular cause,Advocate,Supporter
A person who strongly supports a cause,Fanatic,Zealot
A person who doubts accepted beliefs,Skeptic,Doubter
A person who believes things will work out,Optimist,Idealist
A person who avoids other people,Recluse,Hermit
A person who chooses to live alone,Hermit,Recluse
A person who talks excessively,Chatterbox,Windbag
A person who talks very little,Taciturn,Reticent
A person who easily trusts others,Gullible,Credulous
A person who is extremely clever,Genius,Prodigy
A person who is extremely brave,Fearless,Courageous
A person unable to make a decision,Indecisive,Hesitant
A strong feeling of anger,Anger,Rage
A strong feeling of happiness,Happiness,Joyfulness
A strong feeling of dislike,Aversion,Disfavor
A strong feeling of embarrassment,Shame,Guilt
A strong feeling of jealousy,Envy,Jealousy
A strong desire for revenge,Vengeance,Retribution
A feeling of complete confusion,Bewilderment,Confusion
A feeling of great surprise,Astonishment,Amazement
A feeling of extreme happiness,Euphoria,Elation
A feeling of nervous uncertainty,Anxiety,Tension
Something difficult to understand,Enigma,Riddle
Something difficult to explain,Mystery,Enigma
Something that appears real but is not,Illusion,Delusion
Something extremely unusual,Strange,Peculiar
Something difficult to find,Scarce,Rare
Something that happens only occasionally,Sporadic,Occasional
Something that cannot be avoided,Inevitable,Unavoidable
Something that cannot be destroyed,Indestructible,Immortal
Something that cannot be defeated,Invincible,Unbeatable
Something that cannot be noticed,Invisible,Unseen
A journey filled with adventures,Odyssey,Adventure
A long journey for a specific purpose,Expedition,Exploration
A journey taken for pleasure,Excursion,Outing
A journey undertaken for a purpose,Mission,Assignment
A place where ships can safely stop,Harbor,Seaport
A place where travelers can stay overnight,Hostel,Lodging
A place where books can be borrowed,Library,Bookroom
A place where ancient objects are displayed,Museum,Gallery
A place where animals are kept for visitors,Zoo,Menagerie
A place where weapons are stored,Arsenal,Armory
To move quietly without being noticed,Sneak,Creep
To move quickly from one place to another,Hurry,Hasten
To walk without a clear destination,Wander,Roam
To completely disappear from view,Vanish,Evaporate
To suddenly appear somewhere,Emerge,Surface
To carefully protect something valuable,Guard,Shield
To secretly watch someone,Observe,Monitor
To copy someone's actions,Imitate,Recreate
To make something completely clear,Clarify,Explain
To solve something mysterious,Decipher,Interpret
